FAC_ID,FAC_NAME,OP_BA_ID,OPERATOR,SUB_CODE,FAC_SUB_TY,LIC_NUMBER,LIC_TYPE,EDCT_TYPE,EDCT_DESCR,LIC_BA_ID,LICENSEE,FAC_STATUS,LOC_SOURCE,icon_url
ABBT0125836,4-4 Swb,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0028119",W,,,A7N3,Acquisition Oil Corp.,Suspended,Well Licence,./0.png
ABBT0125837,10-22 Swb,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0023300",W,,,A7N3,Acquisition Oil Corp.,Suspended,Well Licence,./0.png
ABBT0125932,Acl Hz Swanh 8-10,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0452474",W,"570",Single Well <2.0,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0126488,Arcan 16-33 Hz Ethel 01-34-067-08 W5,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0443305",W,"150",Multi Well Pad =0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT0129099,Lts Swan H 3-34-68-9w5,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0457096",W,"570",Single Well <2.0,A7G2,Ridgeback Resources Inc.,Suspended,Well Licence,./0.png
ABBT0126561,Penn West Swan Hills 04-15 Owsb,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"0453959",W,"360",Single Well <0.3,A7L1,Razor Energy Corp.,Suspended,Well Licence,./0.png
ABBT0126569,Acl Hz Swanh 03-02,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0453988",W,"570",Single Well <2.0,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0150907,Aspenleaf 15-4 Hz Swanh 16-7-68-8,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0483343",W,"140",Single Well 0.00,A74X,Aspenleaf Energy Limited,Active,Well Licence,./0.png
ABBT0131216,Swann Hills 09-16,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0460160",W,"570",Single Well <2.0,A6A7,Cardinal Energy Ltd.,New,Well Licence,./0.png
ABBT0131323,Arcan 100/3-10-068-08w5,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0462568",W,"140",Single Well 0.00,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT0131333,Swan Hills05-21,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0461758",W,"360",Single Well <0.3,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0131464,Coral Hill 10-25-069-09w5 Downhole,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0444330",W,"280",Single Well <0.01,A7N3,Acquisition Oil Corp.,Active,Well Licence,./0.png
ABBT0156124,Deer  Mtn Swb 00/14-22-068-08w5,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0492661",W,"140",Single Well 0.00,A74X,Aspenleaf Energy Limited,Active,Well Licence,./0.png
ABBT0129819,Lts Swanh 13-9-69-9w5,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0458520",W,"280",Single Well <0.01,A7G2,Ridgeback Resources Inc.,Suspended,Well Licence,./0.png
ABBT0129820,Lts Swanh 12-9-69-9w5,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0458523",W,"280",Single Well <0.01,A7G2,Ridgeback Resources Inc.,Suspended,Well Licence,./0.png
ABBT0130350,Coral Hill 13-35-069-11w5 Downhole,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0460823",W,"140",Single Well 0.00,A7N3,Acquisition Oil Corp.,Active,Well Licence,./0.png
ABBT0130786,Swan Hills 14-24,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0460970",W,"360",Single Well <0.3,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0130922,Lts Deer 10-4-69-9w5 Swb,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0457467",W,"360",Single Well <0.3,A5EL,Lightstream Resources Ltd.,Suspended,Well Licence,./0.png
ABBT0131213,Swann Hills 14-01,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0460677",W,"360",Single Well <0.3,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT0131226,Swan Hills 03-08,0AW4,Paramount Resources Ltd.,"311",Crude Oil Single-Well Battery,"0461160",W,"360",Single Well <0.3,A6A7,Cardinal Energy Ltd.,Suspended,Well Licence,./0.png
ABBT8870016,Cutbank Swan Hills 4-20,"0D24",Prince Resource Corporation,"311",Crude Oil Single-Well Battery,"0096413",W,,,A2PZ,KinMerc Oil & Gas Inc.,Suspended,Well Licence,./0.png
ABBT8870017,Tri-Link Et Al Swan Hills 2-15-68-11,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0087723",W,,,A7N3,Acquisition Oil Corp.,Suspended,Well Licence,./0.png
ABBT8870024,Swan Hills 12-19-68-8w5,A74X,Aspenleaf Energy Limited,"311",Crude Oil Single-Well Battery,"0025805",W,,,A74X,Aspenleaf Energy Limited,Suspended,Well Licence,./0.png
ABBT8870036,Surat Swan Hills 2-8,A8EE,Surat Energy Inc.,"311",Crude Oil Single-Well Battery,"0094584",W,,,0ND1,Surat Energy Inc.,Active,Well Licence,./0.png
ABBT8870078,Comaplex Swanhills 4-22,0XF2,Dark Energy Ltd.,"311",Crude Oil Single-Well Battery,"0025552",W,,,0XF2,Dark Energy Ltd.,Active,Well Licence,./0.png
ABBT8870089,Colin Swan Hills 4-32,A7G2,Ridgeback Resources Inc.,"311",Crude Oil Single-Well Battery,"0026860",W,,,A7G2,Ridgeback Resources Inc.,Suspended,Well Licence,./0.png
ABBT8870170,Cabre Swan Hills 04-25,0XF2,Dark Energy Ltd.,"311",Crude Oil Single-Well Battery,"0026494",W,,,0XF2,Dark Energy Ltd.,Active,Well Licence,./0.png
ABBT8870176,Pci Swan Hills 10-35,A7L1,Razor Energy Corp.,"311",Crude Oil Single-Well Battery,"0029724",W,,,A7L1,Razor Energy Corp.,Suspended,Well Licence,./0.png
ABBT8870209,Chauvco Swan Hills 12-26,A7N3,Acquisition Oil Corp.,"311",Crude Oil Single-Well Battery,"0133262",W,,,A7N3,Acquisition Oil Corp.,Active,Well Licence,./0.png
