X,Y,CGNDB_ID,GEONAME,LANGUAGE,SYLLABIC,GENERIC,CATEGORY,CONCISE,FEATURE_ID,LOCATION,PROV_TERR,REL_SCALE,DECISION,SOURCE,icon_url
-113.0697222,53.2886111,IAOBZ,Joseph Lake,Undetermined,,Lake,Water Feature,LAKE,0c88df9e849c20c3d876827848701155,"50-21,22-W4",Alberta,"1000000",1950-03-02,Alberta Culture and Tourism,./0.png
-113.07,53.7133333,IAMYF,Josephburg,Undetermined,,Hamlet,Populated Place,UNP,0d0b13b3849c20c3bb69665bd983694c,32-54-21-W4,Alberta,"250000",1974-12-31,Alberta Culture and Tourism,./2.png
-118.995,55.9936111,IAMYH,Josephine Creek,Undetermined,,Creek,Water Feature,RIV,0c886180849c20c33696a59b78f56461,80-7-W6,Alberta,"250000",1949-07-07,Alberta Culture and Tourism,./0.png
-114.8797222,51.1711111,IAOCB,Joshua Creek,Undetermined,,Creek,Water Feature,RIV,0c88e02f849c20c3171af93d0e11623d,35-25-7-W5,Alberta,"250000",1956-11-02,Alberta Culture and Tourism,./0.png
-111.71,57.2902778,IAMYK,Joslyn Creek,Undetermined,,Creek,Water Feature,RIV,0c88625c849c20c3bde06e6f5e9867ee,95-11-W4,Alberta,"250000",1944-12-09,Alberta Culture and Tourism,./0.png
-115.9522222,55.3977777,IAMYL,Joussard,Undetermined,,Hamlet,Populated Place,UNP,0c886209849c20c371fc358a91261e50,33-73-13-W5,Alberta,"1000000",1952-03-06,Alberta Culture and Tourism,./2.png
-115.9244444,55.3705556,IAATT,Joussard,Undetermined,,Railway Point,Populated Place,UNP,0c82a686849c20c329cfda68afa666b7,73-13-W5,Alberta,"250000",1945-12-08,Alberta Culture and Tourism,./2.png
-116.0036111,52.2991667,IAMYM,Joyce River,Undetermined,,River,Water Feature,RIV,0c8862a9849c20c3be4b45b5bd75e26b,38-14-W5,Alberta,"250000",1950-01-16,Alberta Culture and Tourism,./0.png
-117.3219444,56.1530555,IAMYN,Judah,Undetermined,,Locality,Populated Place,UNP,0cffc531849c20c3fc7e5d5eec952970,35-82-22-W5,Alberta,"250000",1949-04-07,Alberta Culture and Tourism,./2.png
-112.3455556,49.5222222,IAMYO,Judson,Undetermined,,Locality,Populated Place,UNP,0c88636f849c20c3c1579acdd2694173,34-6-18-W4,Alberta,"250000",1939-12-12,Alberta Culture and Tourism,./2.png
-115.3791667,54.5608333,IAMYP,Judy Creek,Undetermined,,Creek,Water Feature,RIV,0c8862ea849c20c3980eba360f94cde8,63-10-W5,Alberta,"50000",1958-01-16,Alberta Culture and Tourism,./0.png
-111.2888889,54.0325,IAMYQ,Julien Lake,Undetermined,,Lake,Water Feature,LAKE,0c8863b1849c20c3d065d3698a1516c4,58-9-W4,Alberta,"250000",1950-07-06,Alberta Culture and Tourism,./0.png
