X,Y,X,Y,Licence,CompName,Latitude,Longitude,KBE,GroundElev,SurfLoc,EDCT,RatingLev,LicStatus,LicStatDat,OpSurvProv,auxiliary_,icon_url
-115.511194,54.844948,,,"0016771",Canadian Natural Resources Limited(0HE9),54.844948000000002,-115.511194000000003,1043.000000000000000,1038.799999999999955,10:31:06.000,BWL,J,Issued,25 Feb 1959,,,
-115.230811,54.961079,,,"0016791",ACCEL Canada Holdings Limited(A7ND),54.961078999999998,-115.230811000000003,838.799999999999955,835.200000000000045,10:12:06.000,BWL,J,Issued,02 Mar 1959,,,
-115.421803,54.757887,,,"0016802",Canadian Natural Resources Limited(0HE9),54.757886999999997,-115.421802999999997,1253.299999999999955,1248.799999999999955,10:34:06.000,BWL,J,Suspension,06 Nov 2019,,,
-115.460434,54.735602,,,"0016821",Canadian Natural Resources Limited(0HE9),54.735602000000000,-115.460434000000006,1170.400000000000091,1166.799999999999955,04:28:06.000,BWL,J,Issued,09 Mar 1959,,,
-115.459762,54.750458,,,"0016822",Canadian Natural Resources Limited(0HE9),54.750458000000002,-115.459761999999998,1261.900000000000091,1257.900000000000091,04:33:06.000,BWL,J,Suspension,20 Nov 2016,,,
-115.229531,54.832649,,,0016837A,ExxonMobil Canada Ltd.(0057),54.832649000000004,-115.229530999999994,1187.000000000000000,0.900000000000000,15:25:06.000,BWL,J,RecExempt,12 Mar 1959,,,./0.png
-115.284491,54.831381,,,0016837B,ExxonMobil Canada Ltd.(0057),54.831381000000000,-115.284491000000003,1017.000000000000000,0.900000000000000,10:27:06.000,BWL,J,RecExempt,12 Mar 1959,,,./0.png
-115.175351,54.817848,,,0016837C,ExxonMobil Canada Ltd.(0057),54.817847999999998,-115.175351000000006,979.000000000000000,0.900000000000000,16:20:06.000,BWL,J,RecExempt,12 Mar 1959,,,./0.png
-115.342434,54.85013,,,0016837E,ExxonMobil Canada Ltd.(0057),54.850130000000000,-115.342433999999997,860.000000000000000,0.900000000000000,13:32:06.000,BWL,J,RecExempt,12 Mar 1959,,,./0.png
-115.522536,54.743209,,,"0016996",Canadian Natural Resources Limited(0HE9),54.743209000000000,-115.522536000000002,1227.700000000000045,1224.099999999999909,10:25:06.000,BWL,J,Suspension,15 Sep 2006,,,
-115.497667,54.765349,,,"0017106",Canadian Natural Resources Limited(0HE9),54.765349000000001,-115.497667000000007,1201.799999999999955,1197.900000000000091,04:05:06.000,BWL,J,Issued,20 May 1959,,,
-115.48426,54.735595,,,"0017130",Canadian Natural Resources Limited(0HE9),54.735595000000004,-115.484260000000006,1187.799999999999955,1184.099999999999909,04:29:06.000,BWL,J,Issued,22 May 1959,,,
-115.484267,54.750612,,,"0017132",Canadian Natural Resources Limited(0HE9),54.750611999999997,-115.484267000000003,1276.200000000000045,1271.900000000000091,04:32:06.000,BWL,J,Suspension,12 Nov 2018,,,
-115.498018,54.77962,,,"0017176",Canadian Natural Resources Limited(0HE9),54.779620000000001,-115.498018000000002,1131.099999999999909,1127.200000000000045,04:08:06.000,BWL,J,Issued,02 Jun 1959,,,
-115.484957,54.7652,,,"0017242",Canadian Natural Resources Limited(0HE9),54.765200000000000,-115.484956999999994,1188.700000000000045,1188.700000000000045,02:05:06.000,BWL,J,Suspension,19 Sep 2018,,,
-115.485717,54.772034,,,"0017243",Canadian Natural Resources Limited(0HE9),54.772033999999998,-115.485716999999994,1132.000000000000000,1132.000000000000000,10:05:06.000,BWL,J,Suspension,10 Oct 2006,,,
-115.409368,54.750458,,,"0017322",Canadian Natural Resources Limited(0HE9),54.750458000000002,-115.409368000000001,1265.799999999999955,1265.799999999999955,04:35:06.000,BWL,J,Suspension,07 Nov 2007,,,
-115.433827,54.815923,,,"0017410",Canadian Natural Resources Limited(0HE9),54.815922999999998,-115.433826999999994,931.200000000000045,926.000000000000000,10:22:06.000,BWL,J,Suspension,19 Sep 2015,,,
-115.497964,54.844776,,,"0017453",Canadian Natural Resources Limited(0HE9),54.844776000000003,-115.497963999999996,1072.599999999999909,1068.299999999999955,12:32:06.000,BWL,J,Suspension,27 Jul 2019,,,
-115.473003,54.750347,,,"0017563",Canadian Natural Resources Limited(0HE9),54.750346999999998,-115.473003000000006,1259.099999999999909,1255.500000000000000,02:32:06.000,BWL,J,Suspension,30 Jul 2018,,,
-115.472539,54.736002,,,"0017564",Canadian Natural Resources Limited(0HE9),54.736001999999999,-115.472538999999998,1191.200000000000045,1187.500000000000000,02:29:06.000,BWL,J,Suspension,31 Aug 2011,,,
